slope,aspect,slope_shape,lithology_grade,fault_distance_km,lineament_density,geomorphology_unit,lulc_class,twi,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_max_mm_h,soil_saturation_pct,pore_water_pressure_kpa,sar_coherence_loss,sar_backscatter_diff_db,ndvi_vegetation_loss,osm_road_distance_m,osm_settlement_distance_m,geotechnical_fs,landslide_occurrence,risk_severity
28.95,201.54,-0.267,4,0.23,1.879,0,2,8.36,89.9,287.15,19.37,100.0,62.47,0.715,-4.86,0.137,435.1,233.8,0.235,1,CRITICAL
20.49,88.89,-0.808,1,3.235,1.629,1,2,5.8,100.77,216.95,13.69,100.0,51.14,0.745,-3.43,0.124,498.3,52.4,0.779,0,HIGH
19.38,351.77,0.035,1,3.155,2.07,2,0,10.11,47.2,150.82,5.2,100.0,27.15,0.515,1.58,0.206,80.8,252.3,1.597,0,LOW
19.38,286.77,-0.276,4,0.05,1.596,0,2,6.92,15.58,89.67,3.43,76.14,14.16,0.351,-0.21,0.065,58.7,66.1,1.411,0,LOW
48.23,148.68,-0.274,3,1.467,1.509,3,1,6.35,58.15,206.72,5.13,100.0,44.19,0.803,-1.59,0.248,24.5,526.9,0.421,1,CRITICAL
33.17,54.48,-0.124,1,12.15,4.174,1,3,8.38,96.13,215.68,18.6,100.0,50.36,0.772,0.26,0.22,342.8,49.9,0.558,1,CRITICAL
16.82,282.72,-0.047,1,2.837,1.478,2,0,6.48,0.25,56.3,0.03,64.67,6.55,0.252,-1.87,0.152,181.1,1291.6,3.191,0,LOW
29.64,43.94,-0.003,2,9.472,1.151,2,0,7.43,7.85,95.83,1.36,79.04,13.63,0.432,3.64,0.105,45.3,222.3,1.46,0,LOW
25.32,68.16,-0.309,5,3.941,1.551,3,0,11.34,41.8,104.25,6.12,88.78,21.67,0.436,-0.78,0.147,184.9,14.9,0.898,1,HIGH
5.85,76.15,-0.077,4,0.101,2.522,0,1,6.15,37.36,178.28,7.38,100.0,32.09,0.421,-1.61,0.111,1167.8,793.7,3.402,0,LOW
11.79,200.48,-0.615,3,0.283,3.835,2,0,8.99,262.16,636.9,47.81,100.0,95.0,0.98,-10.93,0.135,228.5,194.8,1.045,1,CRITICAL
26.32,283.34,0.109,5,4.483,3.33,2,2,6.22,6.28,56.4,0.65,64.24,6.52,0.347,1.11,0.162,575.8,498.8,1.15,1,HIGH
45.89,113.15,-1.0,4,2.83,3.553,2,3,5.36,25.42,115.24,4.4,81.52,19.96,0.547,-0.36,0.217,25.9,895.6,0.398,1,CRITICAL
19.47,30.48,-0.101,4,0.476,3.622,1,2,7.32,109.72,272.01,12.11,100.0,62.13,0.773,-3.95,0.084,650.6,27.3,0.316,1,CRITICAL
16.05,167.23,0.322,2,3.332,3.874,0,0,13.41,61.61,210.36,6.39,100.0,37.86,0.518,-3.69,0.212,228.7,7.1,1.527,0,MODERATE
23.58,269.32,-0.371,3,5.818,1.064,2,1,9.22,53.6,138.58,4.92,95.94,30.37,0.485,2.76,0.195,217.4,68.7,1.259,0,MODERATE
15.49,79.8,0.251,1,4.894,1.979,3,3,8.52,87.86,234.59,8.43,100.0,42.23,0.648,-4.95,0.291,41.5,120.9,1.243,0,MODERATE
18.73,79.17,0.405,3,0.989,1.679,0,0,6.35,2.65,70.19,0.47,68.88,8.7,0.218,-0.38,0.079,170.9,334.2,2.624,0,LOW
22.0,341.0,-1.0,1,1.045,1.666,1,2,6.65,191.54,296.99,41.93,100.0,76.44,0.98,-4.94,0.068,185.5,1459.4,0.736,1,CRITICAL
11.43,343.5,-0.053,2,12.029,2.774,0,1,4.24,13.8,52.19,2.41,59.32,5.57,0.108,0.25,0.054,42.2,354.4,4.723,0,LOW
34.07,356.57,-1.0,1,7.644,1.747,2,3,11.45,5.55,89.91,0.99,84.38,14.32,0.388,-6.12,0.418,114.5,882.5,1.216,0,MODERATE
10.17,290.76,-0.041,3,1.341,2.627,2,0,8.09,26.91,115.38,5.1,86.49,17.96,0.268,-0.06,0.131,591.0,100.2,4.101,0,LOW
9.4,67.75,-0.003,4,6.082,1.667,2,0,7.9,78.77,278.7,16.11,100.0,50.17,0.569,1.22,0.093,9.5,1006.1,1.314,1,HIGH
24.71,76.31,-0.869,3,0.617,1.376,1,2,7.95,17.11,82.54,2.01,75.72,13.3,0.501,-6.3,0.144,207.7,564.2,1.794,0,LOW
32.7,122.48,0.674,4,0.767,1.548,0,1,12.1,3.32,67.05,0.55,78.23,9.44,0.462,-3.64,0.099,426.1,1346.9,0.844,0,HIGH
24.37,114.53,0.1,4,0.7,3.395,2,2,8.16,3.84,87.13,0.42,77.57,12.17,0.289,0.14,0.085,961.5,930.3,1.13,1,HIGH
20.76,344.35,-0.297,3,0.321,2.564,1,0,7.08,19.27,78.03,2.96,72.71,12.53,0.353,-1.92,0.106,300.5,854.5,2.207,0,LOW
18.62,284.07,0.513,2,6.751,4.093,0,1,11.46,9.45,89.57,1.03,84.29,13.59,0.254,0.31,0.157,11.5,34.2,2.383,0,LOW
16.91,260.64,-0.628,5,3.026,3.514,2,1,7.21,30.28,75.44,2.69,72.13,13.43,0.379,0.06,0.195,355.5,504.2,1.657,0,LOW
38.11,66.95,-0.43,1,1.049,2.092,1,1,3.78,12.35,72.63,1.14,65.04,9.99,0.503,-0.88,0.058,365.7,165.4,1.276,0,MODERATE
26.45,327.43,-0.805,4,6.609,1.094,3,3,4.14,27.43,79.54,5.94,67.9,13.01,0.383,2.66,0.205,215.7,134.5,1.037,1,HIGH
17.71,298.03,0.63,4,5.68,2.863,0,3,7.08,38.21,137.98,3.09,91.89,22.82,0.511,-0.08,0.233,132.9,271.6,1.299,0,MODERATE
14.76,58.91,0.116,3,0.372,3.079,1,2,8.14,88.2,216.73,15.58,100.0,39.01,0.705,-6.28,0.053,162.2,908.8,1.727,0,MODERATE
30.69,313.62,0.231,2,3.616,2.003,1,2,9.31,16.77,82.5,3.42,78.16,11.61,0.473,0.22,0.105,813.2,42.3,1.465,0,LOW
37.65,98.01,0.105,3,4.478,1.043,2,1,5.48,41.89,82.29,5.66,71.2,10.55,0.63,-2.12,0.189,611.5,1160.7,1.192,0,MODERATE
35.91,29.11,0.201,5,4.404,2.385,2,0,7.0,109.81,212.93,19.67,100.0,38.33,0.891,-2.03,0.084,93.6,878.4,0.322,1,CRITICAL
13.27,236.46,0.027,4,4.495,1.141,2,2,5.72,279.24,633.56,35.98,100.0,95.0,0.98,-3.86,0.102,21.5,147.7,0.445,0,HIGH
18.53,235.37,0.095,5,0.65,3.954,2,0,9.95,52.97,118.5,8.16,90.83,19.38,0.497,1.78,0.118,382.6,186.5,1.328,1,HIGH
16.72,34.18,0.038,2,1.325,2.678,0,0,10.32,36.8,159.37,7.77,100.0,28.69,0.333,-1.73,0.246,213.2,23.4,1.87,0,LOW
19.93,114.79,-0.213,3,6.507,1.297,1,2,11.81,64.9,124.48,5.58,96.09,29.32,0.588,-0.4,0.259,286.3,588.6,1.575,0,MODERATE
33.91,357.41,-0.016,1,8.003,0.984,3,2,8.27,43.3,157.63,5.08,100.0,28.37,0.53,-4.77,0.13,806.4,84.8,0.728,1,CRITICAL
43.72,244.23,0.096,5,1.146,3.039,1,1,11.6,11.7,61.24,1.11,75.48,8.32,0.478,-2.59,0.051,801.5,157.5,0.6,1,CRITICAL
26.98,262.83,0.039,2,0.082,3.002,2,2,5.98,39.99,105.57,5.98,79.54,15.11,0.551,-3.41,0.067,496.5,228.3,1.574,0,LOW
15.06,76.65,-0.517,3,6.876,2.548,3,3,7.98,251.42,493.7,47.23,100.0,95.0,0.98,-3.64,0.218,86.2,234.8,0.833,1,CRITICAL
21.72,28.36,-0.471,5,1.657,2.619,0,1,5.17,66.48,239.03,14.41,100.0,51.0,0.604,1.79,0.123,452.5,727.8,0.502,0,HIGH
47.93,99.68,0.379,3,1.399,2.576,2,2,8.76,21.66,123.99,2.2,90.45,20.19,0.65,6.34,0.148,525.9,307.4,0.608,1,CRITICAL
23.27,89.6,-0.107,3,1.492,1.576,1,0,8.13,191.11,353.06,16.46,100.0,86.48,0.98,-2.87,0.057,5.0,25.8,0.576,1,CRITICAL
18.65,84.44,0.205,2,1.881,3.943,1,3,2.5,31.98,101.5,3.18,71.98,13.15,0.465,0.97,0.227,147.1,412.9,2.481,0,LOW
19.54,69.39,-0.382,3,1.663,2.065,1,0,9.94,32.14,119.87,6.93,91.25,23.55,0.424,-6.17,0.107,105.1,164.9,1.847,0,LOW
26.92,206.91,-0.516,5,2.925,0.183,3,3,9.38,62.31,162.0,7.78,100.0,36.64,0.623,-6.92,0.318,520.1,186.9,0.574,1,CRITICAL
13.54,118.12,-0.295,3,0.288,1.528,1,3,6.28,54.7,168.67,6.42,100.0,36.93,0.48,-4.47,0.234,31.9,104.2,2.004,0,LOW
16.49,295.32,-0.078,2,12.457,0.634,0,2,8.12,22.3,115.81,4.08,86.67,18.07,0.375,-4.78,0.105,272.5,53.3,2.485,0,LOW
35.64,66.22,-0.233,1,9.646,1.59,0,2,4.21,40.91,134.31,3.96,85.56,25.59,0.641,-0.74,0.105,199.3,133.2,0.818,1,CRITICAL
26.52,167.27,0.453,2,9.535,2.594,0,1,5.81,26.28,82.05,3.39,71.71,10.59,0.432,2.61,0.259,725.6,942.4,1.786,0,LOW
23.4,4.92,0.063,3,7.4,0.193,3,3,11.17,87.01,262.92,8.72,100.0,47.33,0.716,-2.91,0.349,180.0,924.2,0.725,1,CRITICAL
