landslide_id,source_id,source_name,latitude,longitude,geometry,state,district,subdistrict,village,occurrence_date,occurrence_time,year,month,season,landslide_type,material_type,movement_type,estimated_area,estimated_length,estimated_width,confidence,validation_status,field_validated,satellite_validated,trigger,trigger_confidence,rainfall_before_event,antecedent_rainfall,source_url,source_license
IN-KL-WAY-2024-001,GSI_ISRO_Wayanad_2024_01,GSI Special Post-Disaster Audit & KSDMA Report,11.5365,76.1322,POINT(76.1322 11.5365),Kerala,Wayanad,Vythiri,Chooralmala / Mundakkai,2024-07-30,02:00:00,2024,7,South-West Monsoon,Debris Flow / Torrent,Colluvium / Saprolite & Boulders,Flow,850000.0,8200.0,250.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,EXTREME_PRECIPITATION,CONFIRMED,204.0,572.0,https://en.wikipedia.org/wiki/2024_Wayanad_landslides,Government of India NDSAP & Creative Commons Attribution
IN-KL-IDK-2020-002,GSI_Pettimudi_2020_02,GSI Geological Fact-Finding Mission,10.158,77.012,POINT(77.0120 10.1580),Kerala,Idukki,Devikulam,Pettimudi / Rajamala,2020-08-06,22:45:00,2020,8,South-West Monsoon,Debris Avalanche / Slide,Saprolite / Residual Clay Over Granite,Slide / Flow,420000.0,3500.0,140.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,EXTREME_PRECIPITATION,CONFIRMED,310.0,612.0,https://gsi.gov.in/webcenter/portal/OCBIS/pettimudi-report,Government of India NDSAP
IN-KL-MLP-2019-003,ISRO_Kavalappara_2019_03,ISRO NRSC Landslide Atlas 2019 Monsoonal Inventory,11.385,76.28,POINT(76.2800 11.3850),Kerala,Malappuram,Nilambur,Kavalappara / Bhoodan,2019-08-08,19:30:00,2019,8,South-West Monsoon,Deep-Seated Rotational / Debris Flow,Colluvial Debris & Saprolite,Slide / Flow,510000.0,2100.0,280.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,EXTREME_PRECIPITATION,CONFIRMED,285.0,410.0,https://bhuvan.nrsc.gov.in/landslide-atlas,ISRO Data Policy
IN-MH-PUN-2014-004,GSI_Malin_2014_04,Geological Survey of India Malin Post-Mortem,19.162,73.689,POINT(73.6890 19.1620),Maharashtra,Pune,Ambegaon,Malin,2014-07-30,03:00:00,2014,7,South-West Monsoon,Mudslide / Rapid Debris Flow,Weathered Basalt & Clayey Silt,Flow,280000.0,1400.0,220.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,CONTINUOUS_HEAVY_RAINFALL,CONFIRMED,180.0,380.0,https://en.wikipedia.org/wiki/2014_Malin_landslide,Government of India NDSAP
IN-MH-RAI-2023-005,SDMA_Irshalwadi_2023_05,Maharashtra SDMA & NDRF Emergency Report,18.917,73.238,POINT(73.2380 18.9170),Maharashtra,Raigad,Khalapur,Irshalwadi / Irshalgad,2023-07-19,22:30:00,2023,7,South-West Monsoon,Debris Avalanche / Cliff Collapse,Basaltic Boulder Colluvium,Slide / Flow,360000.0,1800.0,190.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,TORRENTIAL_MONSOON,CONFIRMED,240.0,490.0,https://en.wikipedia.org/wiki/2023_Irshalwadi_landslide,Government of India NDSAP
IN-KA-UTK-2024-006,NHAI_Shirur_2024_06,NHAI & Karnataka Disaster Management Fact-Sheet,14.364,74.582,POINT(74.5820 14.3640),Karnataka,Uttara Kannada,Ankola,Shirur (NH-66),2024-07-16,08:30:00,2024,7,South-West Monsoon,Road-Cut Slope Failure / Earth Slide,Laterite Over Crystalline Gneiss,Rotational Slide,190000.0,650.0,180.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,HEAVY_MONSOON_AND_SLOPE_EXCAVATION,CONFIRMED,195.0,410.0,https://bhuvan.nrsc.gov.in/shirur-slide,NHAI / Open Government Data
IN-UK-CHM-2021-007,GSI_Chamoli_2021_07,GSI Special Report on Rishiganga-Dhauliganga Surge,30.383,79.733,POINT(79.7330 30.3830),Uttarakhand,Chamoli,Joshimath,Raini / Tapovan Gorge,2021-02-07,10:00:00,2021,2,Winter / Pre-Monsoon Cryosphere,Glacial Rock-Ice Avalanche & Hyperconcentrated Debris Flow,Massive Migmatite / Quartzite & Hanging Glacier Ice,Rock Avalanche & Flash Flood,3200000.0,14000.0,450.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,CRYOSPHERIC_STRUCTURAL_WEDGE_FAILURE,CONFIRMED,12.0,45.0,https://en.wikipedia.org/wiki/2021_Uttarakhand_flood,Government of India NDSAP
IN-UK-RUD-2013-008,ISRO_Kedarnath_2013_08,ISRO NRSC Kedarnath Disaster Atlas (80k Scars),30.735,79.067,POINT(79.0670 30.7350),Uttarakhand,Rudraprayag,Ukhimath,Kedarnath / Mandakini Valley,2013-06-16,18:30:00,2013,6,South-West Monsoon Cloudburst,Moraine Breach & Debris Torrent,Glacial Till & Colluvial Boulders,Flow / Avalanche,4800000.0,18500.0,550.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,CLOUDBURST_AND_CHORABARI_GLACIAL_LAKE_BREACH,CONFIRMED,340.0,520.0,https://bhuvan.nrsc.gov.in/kedarnath-atlas,ISRO Data Policy
IN-HP-SHI-2023-009,HPSDMA_Shimla_2023_09,Himachal Pradesh SDMA Monsoon Report 2023,31.104,77.138,POINT(77.1380 31.1040),Himachal Pradesh,Shimla,Shimla Urban,Summer Hill / Shiv Bawdi Temple,2023-08-14,07:15:00,2023,8,South-West Monsoon,Rotational Debris Slide & Upstream Tree Fall,Weathered Phyllite & Colluvial Soil,Slide / Flow,120000.0,850.0,110.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,PROLONGED_TORRENTIAL_RAINFALL,CONFIRMED,210.0,420.0,https://hpsdma.nic.in/monsoon-2023,Government of Himachal Pradesh Open Data
IN-HP-KIN-2021-010,GSI_Kinnaur_2021_10,GSI Rockfall Geological Assessment Kinnaur,31.542,78.118,POINT(78.1180 31.5420),Himachal Pradesh,Kinnaur,Nichar,Nigulsari (NH-05),2021-08-11,11:45:00,2021,8,South-West Monsoon,Catastrophic Rockfall & Wedge Topple,Jointed Quartzite & Gneiss Boulders,Fall / Topple,95000.0,620.0,140.0,HIGH,FIELD_AND_SATELLITE_VERIFIED,True,True,MONSOON_INDUCED_HYDROSTATIC_CLEFT_PRESSURE,CONFIRMED,65.0,185.0,https://gsi.gov.in/webcenter/portal/OCBIS/kinnaur-report,Government of India NDSAP
