sample_id,latitude,longitude,timestamp,year,region,district,mountain_belt,label_landslide,risk_category,susceptibility_score,geotechnical_fs,elevation,slope,aspect,curvature,plan_curvature,profile_curvature,roughness,twi,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,rain_7d,rain_15d,rain_30d,soil_type,soil_depth,lithology,lithology_grade,geomorphology,landcover,lulc_class,ndvi,distance_to_stream_m,flow_accumulation,distance_to_fault_km,sar_coherence_loss,sar_backscatter_diff_db,ndvi_change,population_density,distance_to_road_m,distance_to_bridge_m,distance_to_hospital_m,gsi_susceptibility,data_quality,source_count
SMP-POS-00379,10.16004,77.00954,2020-08-06T22:45:00,2020,Kerala,Idukki,Western Ghats,1,CRITICAL,0.919,0.401,1498.121046145837,49.28,263.42,-0.5426061997844697,-0.33844578517549784,-0.13120579511888114,6.780701867164476,10.87,1.6,5.6,19.5,45.5,100.4,176.8,248.7,453.9,550.8,778.2,Saprolite / Residual Clay Over Granite,3.76,Granitic Gneiss with Heavy Weathering Shell,4,Denudational Hill Slope,Tea Estate Line Quarters & Montane Grassland,2,0.39,73.5,1438.2,2.95,0.808,3.68,-0.391,283.5,72.1,1046.6,12800.8,Very High,VALID,4
SMP-NEG-01594,30.69894,79.03094,2021-11-15T12:00:00,2021,Uttarakhand,Rudraprayag,Himalayas,0,LOW,0.117,2.645,3141.2313024918362,9.8,237.55,-0.03577436391402054,0.0,0.0,0.9036189810318074,4.56,3.9,4.2,10.7,13.0,18.9,42.7,77.2,140.0,215.2,365.2,Residual Sandy Loam Over Crystalline Rock,0.54,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.863,2600.2,107.7,9.73,0.085,-0.33,-0.003,114.0,3537.5,6486.8,30202.8,Low,VALID,4
SMP-POS-00677,11.53222,76.13538,2024-07-30T02:00:00,2024,Kerala,Wayanad,Western Ghats,1,CRITICAL,0.799,0.884,1258.4658229755407,47.25,241.92,-0.2582086487392388,-0.15743870816362907,-0.3057363317274626,5.1762403547583045,8.33,1.5,4.9,7.1,14.9,47.1,96.7,105.2,172.8,366.3,574.7,Colluvium / Saprolite & Boulders,4.7,Charnockite & Weathered Hornblende-Biotite Gneiss,3,High-Relief Structural Escarpment,Tea Plantation & Shola Evergreen Forest,3,0.563,74.8,529.7,1.59,0.971,4.48,-0.522,233.6,110.4,494.0,4488.2,Very High,VALID,4
SMP-NEG-00434,18.95754,73.27854,2022-03-15T12:00:00,2022,Maharashtra,Raigad,Western Ghats,0,LOW,0.208,4.024,32.639703906187606,4.08,173.42,-0.0015964549535202235,0.0,0.0,0.2275602954924823,5.4,1.9,6.1,11.7,23.1,30.3,63.8,95.2,136.7,187.7,333.6,Residual Sandy Loam Over Crystalline Rock,0.61,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.753,2292.6,136.8,38.68,0.114,-0.02,0.039,83.2,4085.8,3767.8,8181.5,Low,VALID,4
SMP-POS-01330,19.16762,73.6936,2014-07-30T03:00:00,2014,Maharashtra,Pune,Western Ghats,1,CRITICAL,0.925,0.804,694.2097725944996,32.66,195.87,-0.14272092893579716,-0.46327611412736874,-0.422540402098929,4.72752329852005,10.53,1.2,2.6,5.1,16.6,59.1,133.8,178.6,259.8,510.2,646.8,Weathered Basalt & Clayey Silt,4.38,Deccan Trap Basaltic Lava Flows (Amygdaloidal Basalt),4,Terraced Basaltic Ridge,Agricultural Paddy Terraces & Slope Cuts,3,0.622,167.4,285.8,11.79,0.756,2.98,-0.485,146.8,89.9,4067.0,14976.6,High,VALID,4
SMP-NEG-01398,30.46021,79.81021,2017-01-15T12:00:00,2017,Uttarakhand,Chamoli,Himalayas,0,LOW,0.083,4.253,3500.0,1.5,45.46,0.004972027129336461,0.0,0.0,0.2,4.7,1.7,2.1,8.7,20.6,36.1,54.7,88.4,141.5,241.9,292.7,Residual Sandy Loam Over Crystalline Rock,0.89,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.845,2496.6,64.5,16.26,0.111,0.15,0.022,94.7,3417.8,9928.3,30459.5,Low,VALID,4
SMP-NEG-02852,18.99692,73.31792,2019-02-15T12:00:00,2019,Maharashtra,Raigad,Western Ghats,0,LOW,0.233,2.123,181.27397684877195,4.83,215.31,-0.03241110819035553,0.0,0.0,0.4923908703827242,4.16,3.4,8.5,14.3,22.5,35.5,47.7,61.3,96.5,143.5,309.6,Residual Sandy Loam Over Crystalline Rock,0.99,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.723,1881.8,99.3,40.14,0.143,-0.61,0.056,29.2,2159.5,7031.1,9626.6,Low,VALID,4
SMP-POS-01039,27.58332,88.53929,2023-10-04T01:30:00,2023,Sikkim,Mangan,Himalayas,1,CRITICAL,0.833,0.805,1779.6736789046963,41.9,117.07,-0.3360525928458616,-0.32199070068039826,-0.4961549840303294,5.401550995267434,10.55,0.1,0.6,2.8,7.9,10.8,13.3,13.4,14.4,60.7,80.4,Glacio-Fluvial Gravel & Schist Bedrock,2.93,Daling Group Chlorite-Sericite Schist & Gneiss,4,Confluence Terrace & Deep Fluvial Gorge,Township & Hydroelectric Dam Infrastructure,3,0.653,9.1,380.2,1.27,0.875,6.35,-0.433,594.9,9.9,72.9,12080.6,Very High,VALID,4
SMP-POS-00621,31.537,78.11922,2021-08-11T11:45:00,2021,Himachal Pradesh,Kinnaur,Himalayas,1,CRITICAL,0.873,0.663,2122.521885124202,60.48,142.48,-0.16854471299030066,-0.23546277498725984,-0.08796921705084976,7.479633170856082,9.12,0.0,0.0,0.0,1.9,1.9,3.2,6.9,13.6,63.9,151.7,Jointed Quartzite & Gneiss Boulders,5.05,Wangtu Gneissic Complex with Intense Jointing,2,Steep Valley Gorge of Sutlej River,National Highway NH-05 Cut & Sparse Pine,2,0.639,53.0,784.6,2.19,0.861,4.8,-0.532,75.4,2.0,1072.4,13355.2,Very High,VALID,4
SMP-NEG-01379,11.48082,76.07652,2017-12-15T12:00:00,2017,Kerala,Wayanad,Western Ghats,0,LOW,0.174,3.08,591.3940100759727,2.59,97.44,-0.029612526822690857,0.0,0.0,0.2,4.04,3.9,6.2,11.9,17.6,37.4,59.8,84.0,172.5,205.0,281.0,Residual Sandy Loam Over Crystalline Rock,1.15,Unweathered Crystalline Basement,1,Planar Ridge Plateau / Pediment,Undisturbed Evergreen Canopy,0,0.879,2028.8,164.3,33.78,0.093,-0.06,0.001,120.2,5731.8,5334.1,22540.6,Low,VALID,4
