rank,feature_name,importance_score,associated_role
1,lulc_class,0.1472,Primary trigger / physical driver
2,distance_to_stream_m,0.1351,Primary trigger / physical driver
3,ndvi_change,0.121,Primary trigger / physical driver
4,roughness,0.1112,Primary trigger / physical driver
5,sar_coherence_loss,0.1109,Primary trigger / physical driver
6,slope,0.102,Primary trigger / physical driver
7,lithology_grade,0.0953,Contributing terrain factor
8,soil_depth,0.055,Contributing terrain factor
9,sar_backscatter_diff_db,0.0471,Contributing terrain factor
10,distance_to_fault_km,0.0289,Contributing terrain factor
11,twi,0.0245,Contributing terrain factor
12,distance_to_road_m,0.0097,Contributing terrain factor
13,ndvi,0.0058,Contributing terrain factor
14,rain_24h,0.0033,Contributing terrain factor
15,distance_to_bridge_m,0.003,Contributing terrain factor
16,flow_accumulation,0.0,Contributing terrain factor
17,population_density,0.0,Contributing terrain factor
18,rain_72h,0.0,Contributing terrain factor
19,rain_30d,0.0,Contributing terrain factor
20,rain_7d,0.0,Contributing terrain factor
21,rain_15d,0.0,Contributing terrain factor
22,rain_6h,0.0,Contributing terrain factor
23,rain_12h,0.0,Contributing terrain factor
24,rain_48h,0.0,Contributing terrain factor
25,rain_1h,0.0,Contributing terrain factor
26,rain_3h,0.0,Contributing terrain factor
27,curvature,0.0,Contributing terrain factor
28,aspect,0.0,Contributing terrain factor
29,elevation,0.0,Contributing terrain factor
